Key,Strings
Nav_Home,主页
Nav_ProductionLine,产线总览
Nav_AlarmCenter,报警中心
Nav_DeviceManager,设备管理
Nav_WorkOrder,工单管理
Nav_HistoryQuery,历史查询
Nav_Overview,生产复盘
Nav_Settings,设置
Nav_RuntimeMonitoring,运行监控
Nav_DeviceDetail,设备详情
Nav_Overview_Tip,最近24小时生产复盘
Status_Initial,初始
Status_Running,运行
Status_Alarm,报警
Status_Paused,待机
Status_Unknown,未知
Common_Save,保存设置
Common_Cancel,取消
Common_Language,语言
Common_RestartRequired,语言切换将在重启后生效。
Settings_DisplaySettings,显示设置
Settings_DisplayHint,调整看板标题与界面字号（大屏远距阅读）。
Settings_LanguageHint,界面语言（中文/英文/日文），默认中文，重启后生效。
Conn_Live,实时
Conn_Disconnected,未连接
Conn_Reconnecting,重连中
Conn_Stale,数据停滞
EventType_Triggered,触发
EventType_Recovered,恢复
EventType_ShiftChange,班次切换
Level_High,高
Level_Medium,中
Level_Low,低
Defect_Appearance,外观
Defect_Dimension,尺寸
Defect_Function,功能
Defect_Packaging,包装
Defect_Other,其他
Severity_Critical,严重
Severity_Major,一般
Severity_Minor,轻微
K001,良品率
K002,设备
K003,状态
K004,全部
K005,运行
K006,待机
K007,运行时长
K008,工单号
K009,时间稼动率
K010,待开始
K011,进行中
K012,已完成
K013,已中止
K014,件
K015,刷新
K016,报警
K017,目标节拍
K018,报警名称
K019,产品编码
K020,产品名称
K021,备注
K022,班次
K023,总产量
K024,设备筛选
K025,近24小时
K026,复制
K027,配方
K028,设备状态
K029,性能达标率
K030,报警描述
K031,读取
K032,读取 PLC 当前值；PLC 断线时不可用
K033,新增
K034,删除
K035,计划产量
K036,开始
K037,时间
K038,报警时长
K039,Siemens 批量 Int32 上限
K040,欧姆龙 FINS 读取切割长度
K041,绑定设备
K042,近1小时
K043,近4小时
K044,刷新（F5）
K045,实时活跃报警
K046,最近事件流
K047,合格产量
K048,PLC 地址
K049,当前工单
K050,实际节拍
K051,暂无产量数据
K052,暂无缺陷数据
K053,新增报警
K054,报警级别
K055,删除报警
K056,新增计数报警
K057,删除计数报警
K058,新增缺陷
K059,缺陷名称
K060,缺陷类别
K061,删除缺陷
K062,设备名称
K063,配方名称
K064,设备列表
K065,生成虚拟设备
K066,设备详情
K067,设备参数
K068,报警管理
K069,缺陷管理
K070,计数报警
K071,工单
K072,编辑
K073,工单详情
K074,请选择左侧工单查看详情
K075,计划时间
K076,完成
K077,中止
K078,本班次
K079,导出
K080,OK 产量(件)
K081,状态分布
K082,班次对比
K083,当前状态
K084,C良品率
K085,不良率
K086,筛选 High 级别报警
K087,筛选 Medium 级别报警
K088,筛选 Low 级别报警
K089,工单管理
K090,报警次数
K091,最长停机
K092,取消
K093,确定
K094,产量 / 不良
K095,运行 / 报警
K096,性能效率
K097,目标 / 实际
K098,综合停机
K099,PLC 连接
K100,累计断线
K101,复制机器码
K102,重新激活
K103,采集服务地址
K104,PLC 品牌
K105,端口
K106,Siemens 型号
K107,Siemens 数据格式
K108,Modbus 寄存器功能码
K109,Modbus 位功能码
K110,Modbus 数据格式
K111,PLC 批量读取最大数量
K112,批量读取允许地址空洞数
K113,看板标题
K114,启用新报警声音
K115,自动日报生成时间
K116,新增班次
K117,班次名称
K118,点击时钟图标选择时刻
K119,计划开始时间
K120,计划结束时间
K121,显示导航菜单
K122,报警中心
K123,显示全部设备报警
K124,搜索设备或报警名称
K125,活跃报警
K126,今日触发
K127,今日恢复
K128,最长持续
K129,影响设备
K130,最频繁报警
K131,高级
K132,中级
K133,低级
K134,活跃报警列表
K135,复制报警信息
K136,历史
K137,查看报警历史
K138,累计持续时间 Top 10
K139,报警排行列表
K140,保存失败 - 配置校验
K141,保存前发现以下配置问题：
K142,双击错误项可跳转到对应设备与选项卡。
K143,关闭
K144,未选择设备
K145,请从主页或产线页选择一台设备
K146,返回
K147,返回主页（Esc）
K148,不合格产量
K149,今日报警
K150,设备配置
K151,PLC 实时值
K152,OK计数
K153,NG计数
K154,产品
K155,进度
K156,无活跃工单
K157,节拍对比
K158,差距
K159,理论/实际
K160,OEE 分解
K161,状态时长分布
K162,查看历史
K163,当前无活跃报警
K164,设备当前运行正常
K165,最近报警事件
K166,缺陷占比
K167,导出报警 CSV
K168,导出当前设备全部报警到 CSV 文件（可用 Excel 编辑）
K169,导入报警 CSV
K170,从 CSV 文件导入报警（追加或替换当前设备报警列表）
K171,报警列表
K172,PLC 地址（如 M100）
K173,报警 PLC 地址
K174,计数报警列表
K175,计数报警名称
K176,PLC 地址（如 D300）
K177,计数报警 PLC 地址
K178,阈值上限
K179,计数报警阈值上限
K180,单位
K181,计数单位
K182,计数报警描述
K183,当前值：
K184,已超限
K185,清空计数报警当前值
K186,清空当前值
K187,缺陷列表
K188,PLC 地址（如 D200）
K189,缺陷 PLC 地址
K190,严重等级
K191,缺陷严重等级
K192,PLC 未连接，读取、写入和清零操作已禁用
K193,当前设备存在配置问题
K194,配置错误，点击定位
